datetime, Max, Min, Average,
06/01/2017 00,21.5,21.10000038,21.22881391, 
06/01/2017 01,21.29999924,20.70000076,21.09642884, 
06/01/2017 02,20.70000076,20.29999924,20.56222246, 
06/01/2017 03,20.29999924,20.10000038,20.22857141, 
06/01/2017 04,20.10000038,19.79999924,19.90499964, 
06/01/2017 05,20.10000038,19.70000076,19.80638338, 
06/01/2017 06,21.20000076,20,20.37166681, 
06/01/2017 07,22.79999924,21.20000076,21.90392173, 
06/01/2017 08,25,22.79999924,23.85423715, 
06/01/2017 09,26.29999924,24.39999962,25.20499976, 
06/01/2017 10,27.60000038,25.60000038,26.78000005, 
06/01/2017 11,28.20000076,27.39999962,27.70500002, 
06/01/2017 12,28.89999962,28,28.43166656, 
06/01/2017 13,29,28.20000076,28.76666663, 
06/01/2017 14,29.60000038,28.60000038,29.22500003, 
06/01/2017 15,29.70000076,29,29.31694913, 
06/01/2017 16,29,28,28.51296308, 
06/01/2017 17,28.70000076,27.5,28.22800007, 
06/01/2017 18,27.39999962,25.89999962,26.53076909, 
06/01/2017 19,25.89999962,25.10000038,25.45283022, 
06/01/2017 20,25,24.70000076,24.92500002, 
06/01/2017 21,24.10000038,23.70000076,23.90370362, 
06/01/2017 22,23.70000076,23,23.41200005, 
06/01/2017 23,23,22.60000038,22.78333314, 
06/02/2017 00,22.79999924,22.10000038,22.53478282, 
06/02/2017 01,21.89999962,21.70000076,21.82142796, 
06/02/2017 03,21.39999962,21.20000076,21.30769216, 
06/02/2017 04,21.39999962,21,21.21666702, 
06/02/2017 05,20.89999962,20.5,20.63636398, 
06/02/2017 06,21.70000076,20.79999924,21.30000019, 
06/02/2017 07,23.29999924,21.89999962,22.56153811, 
06/02/2017 08,25.20000076,23.5,24.48333343, 
06/02/2017 09,27,25,26.05454566, 
06/02/2017 10,28,26.79999924,27.5653845, 
06/02/2017 11,29,27.70000076,28.551515, 
06/02/2017 12,29,28.29999924,28.69019602, 
06/02/2017 13,29.60000038,28.70000076,28.99833323, 
06/02/2017 14,29.89999962,28.70000076,29.28833342, 
06/02/2017 15,29.89999962,28.79999924,29.3850001, 
06/02/2017 16,29.29999924,27.5,28.42830197, 
06/02/2017 17,27.70000076,26.5,26.92833341, 
06/02/2017 18,26.39999962,25.70000076,25.96666629, 
06/02/2017 19,25.70000076,23.89999962,24.68750016, 
06/02/2017 20,24,23.5,23.60500011, 
06/02/2017 21,23.79999924,23.20000076,23.53333346, 
06/02/2017 22,23.29999924,22.89999962,23.14999986, 
06/02/2017 23,23,22.10000038,22.69090895, 
06/03/2017 00,22.10000038,21.89999962,22, 
06/03/2017 01,22,21.79999924,21.86666616, 
06/03/2017 02,21.89999962,21.89999962,21.89999962, 
06/03/2017 04,21.70000076,21.5,21.60000038, 
06/03/2017 05,21.39999962,21.20000076,21.26666662, 
06/03/2017 06,22,21.39999962,21.80999947, 
06/03/2017 07,22.79999924,22,22.47692299, 
06/03/2017 08,25.29999924,23.20000076,24.00625002, 
06/03/2017 09,26.10000038,25.70000076,25.90000002, 
06/03/2017 10,27.29999924,25.89999962,26.90000016, 
06/03/2017 11,27.60000038,26.29999924,26.905263, 
06/03/2017 12,28.79999924,27.5,28.41428575, 
06/03/2017 13,29.79999924,28.39999962,29.22692321, 
06/03/2017 14,30.60000038,29.39999962,29.9444446, 
06/03/2017 15,30.20000076,29.10000038,29.69090907, 
06/03/2017 16,29.5,28.89999962,29.14545464, 
06/03/2017 17,29,28.10000038,28.64516117, 
06/03/2017 18,28.10000038,27.10000038,27.59583314, 
06/03/2017 19,26.70000076,25.89999962,26.33666693, 
06/03/2017 20,25.89999962,25.10000038,25.53939392, 
06/03/2017 21,25.10000038,24.29999924,24.6999999, 
06/03/2017 22,24.29999924,23.5,23.93055587, 
06/03/2017 23,23.5,23,23.22631575, 
06/04/2017 00,22.70000076,22.29999924,22.46249986, 
06/04/2017 01,22.70000076,22.39999962,22.56176494, 
06/04/2017 02,22.70000076,22.5,22.55217411, 
06/04/2017 03,22.70000076,22.5,22.59166702, 
06/04/2017 04,22.10000038,21.89999962,22, 
06/04/2017 05,21.70000076,21.5,21.62857192, 
06/04/2017 06,22.79999924,21.70000076,22.13793103, 
06/04/2017 07,24.20000076,22.79999924,23.45454545, 
06/04/2017 08,26.60000038,24.20000076,25.51724138, 
06/04/2017 09,28.5,26.39999962,27.38620673, 
06/04/2017 10,29.29999924,28,28.8071428, 
06/04/2017 11,30.29999924,28.60000038,29.81764681, 
06/04/2017 12,31.60000038,30,30.84347824, 
06/04/2017 13,31.60000038,31,31.24285725, 
06/04/2017 14,31.60000038,30.89999962,31.15833346, 
06/04/2017 15,31.89999962,31,31.23999996, 
06/04/2017 16,32,31.29999924,31.73333327, 
06/04/2017 17,31.5,30.79999924,31.22222201, 
06/04/2017 18,30.5,28.5,29.52857154, 
06/04/2017 19,28.5,27.39999962,27.87777752, 
06/04/2017 20,27.39999962,27.20000076,27.28571456, 
06/04/2017 21,27.10000038,26.60000038,26.86666648, 
06/04/2017 22,26.5,26.10000038,26.33999977, 
06/04/2017 23,25.79999924,25.29999924,25.5875001, 
06/05/2017 00,25.29999924,24.60000038,25.08000031, 
06/05/2017 01,24.39999962,24,24.23333295, 
06/05/2017 02,23.60000038,23.5,23.57500029, 
06/05/2017 03,23.5,23.10000038,23.31111124, 
06/05/2017 04,23.5,23.10000038,23.3166666, 
06/05/2017 05,23.70000076,23.5,23.58333365, 
06/05/2017 06,24,23.60000038,23.79999971, 
06/05/2017 07,25.5,24.39999962,24.90000016, 
06/05/2017 08,25.70000076,25.70000076,25.70000076, 
06/05/2017 09,27.39999962,27.39999962,27.39999962, 
06/05/2017 10,26.89999962,26.79999924,26.82499933, 
06/05/2017 11,28.5,27.5,28, 
06/05/2017 12,28.20000076,27.70000076,27.91666667, 
06/05/2017 13,29.60000038,28.60000038,29.1500001, 
06/05/2017 14,29.79999924,24.20000076,27.98888885, 
06/05/2017 15,22.29999924,21.5,21.82500005, 
06/05/2017 16,21.89999962,21.20000076,21.4399999, 
06/05/2017 17,22.60000038,22.20000076,22.44444444, 
06/05/2017 18,22.60000038,22.20000076,22.44736832, 
06/05/2017 19,22.39999962,22.10000038,22.27857127, 
06/05/2017 20,22.10000038,21.60000038,21.88749981, 
06/05/2017 21,22,21.70000076,21.85555522, 
06/05/2017 22,21.89999962,21.89999962,21.89999962, 
06/05/2017 23,21.89999962,21.70000076,21.84444427, 
06/06/2017 00,21.70000076,21.60000038,21.6666673, 
06/06/2017 01,21.60000038,21.29999924,21.45555539, 
06/06/2017 02,21.39999962,21.29999924,21.31111039, 
06/06/2017 03,21.60000038,21.29999924,21.5, 
06/06/2017 04,21.70000076,21.5,21.57500029, 
06/06/2017 05,21.70000076,21.60000038,21.68000069, 
06/06/2017 06,22.10000038,21.70000076,21.94666659, 
06/06/2017 07,22,21.29999924,21.55999985, 
06/06/2017 08,22.29999924,21.5,21.85624981, 
06/06/2017 09,23,22.10000038,22.42857156, 
06/06/2017 10,24.20000076,23.10000038,23.64000053, 
06/06/2017 11,25.20000076,24.29999924,24.66666698, 
06/06/2017 12,26.39999962,25.70000076,25.93999996, 
06/06/2017 13,27.39999962,26.39999962,26.73999977, 
06/06/2017 14,27.10000038,26.70000076,26.9333334, 
06/06/2017 15,27,26.5,26.75, 
06/06/2017 16,27,25.89999962,26.29999987, 
06/06/2017 17,25.89999962,24.70000076,25.30526332, 
06/06/2017 18,24.70000076,24.10000038,24.48571478, 
06/06/2017 19,24.10000038,23.79999924,23.89999962, 
06/06/2017 20,23.79999924,23.10000038,23.44999981, 
06/06/2017 21,22.89999962,22.29999924,22.63999996, 
06/06/2017 22,22.29999924,22.20000076,22.22000046, 
06/06/2017 23,22.60000038,22.60000038,22.60000038, 
06/07/2017 00,21.89999962,21.79999924,21.85999947, 
06/07/2017 01,21.70000076,21.20000076,21.45000029, 
06/07/2017 02,21.20000076,21.10000038,21.12500048, 
06/07/2017 03,21.39999962,21.20000076,21.28333346, 
06/07/2017 04,21.39999962,21.20000076,21.30000005, 
06/07/2017 05,21.60000038,21.20000076,21.36666658, 
06/07/2017 06,22.10000038,21.70000076,21.9384616, 
06/07/2017 07,23.70000076,22.39999962,23.15714346, 
06/07/2017 08,24.60000038,23.89999962,24.22142873, 
06/07/2017 09,25.10000038,25,25.05000019, 
06/07/2017 10,25.39999962,24.70000076,25.03333346, 
06/07/2017 11,26.5,25.5,25.88823532, 
06/07/2017 12,27,26.10000038,26.67833331, 
06/07/2017 13,26.39999962,25.79999924,26.16166677, 
06/07/2017 14,26.79999924,25.89999962,26.3583333, 
06/07/2017 15,26,25.60000038,25.80392105, 
